County,# Primary Care Physicians,County Value,Z-Score
"West Virginia","1,410","1,270:1",
"Barbour","7","2,350:1","0.31"
"Berkeley","53","2,250:1","0.26"
"Boone","6","3,580:1","0.69"
"Braxton","6","2,330:1","0.30"
"Brooke","5","4,390:1","0.83"
"Cabell","161","570:1","-3.17"
"Calhoun","3","2,370:1","0.32"
"Clay","1","8,510:1","1.12"
"Doddridge","1","8,450:1","1.11"
"Fayette","20","2,120:1","0.19"
"Gilmer","3","2,610:1","0.42"
"Grant","7","1,650:1","-0.16"
"Greenbrier","46","750:1","-2.06"
"Hampshire","6","3,860:1","0.75"
"Hancock","18","1,600:1","-0.21"
"Hardy","2","6,890:1","1.04"
"Harrison","80","840:1","-1.70"
"Jackson","10","2,860:1","0.51"
"Jefferson","30","1,900:1","0.05"
"Kanawha","242","740:1","-2.14"
"Lewis","10","1,590:1","-0.22"
"Lincoln","9","2,270:1","0.27"
"Logan","18","1,780:1","-0.05"
"Marion","29","1,930:1","0.07"
"Marshall","10","3,050:1","0.57"
"Mason","12","2,210:1","0.24"
"McDowell","4","4,410:1","0.83"
"Mercer","34","1,730:1","-0.09"
"Mineral","8","3,360:1","0.64"
"Mingo","4","5,860:1","0.98"
"Monongalia","155","680:1","-2.43"
"Monroe","5","2,660:1","0.44"
"Morgan","9","1,990:1","0.10"
"Nicholas","21","1,170:1","-0.82"
"Ohio","69","600:1","-2.95"
"Pendleton","3","2,320:1","0.30"
"Pleasants","1","7,460:1","1.07"
"Pocahontas","3","2,750:1","0.47"
"Preston","13","2,570:1","0.40"
"Putnam","58","970:1","-1.27"
"Raleigh","58","1,260:1","-0.65"
"Randolph","20","1,430:1","-0.40"
"Ritchie","2","4,780:1","0.88"
"Roane","7","1,960:1","0.08"
"Summers","4","3,140:1","0.59"
"Taylor","6","2,780:1","0.48"
"Tucker","3","2,280:1","0.27"
"Tyler","3","2,860:1","0.51"
"Upshur","15","1,610:1","-0.20"
"Wayne","23","1,710:1","-0.11"
"Webster","3","2,700:1","0.45"
"Wetzel","7","2,150:1","0.21"
"Wirt","1","5,820:1","0.97"
"Wood","72","1,160:1","-0.84"
"Wyoming","5","4,080:1","0.78"
