County,# Primary Care Physicians,County Value,Z-Score
"West Virginia","1,440","1,270:1",
"Barbour","7","2,400:1","0.40"
"Berkeley","51","2,230:1","0.31"
"Boone","9","2,540:1","0.46"
"Braxton","7","2,070:1","0.21"
"Brooke","4","5,740:1","1.06"
"Cabell","159","600:1","-2.98"
"Calhoun","3","2,450:1","0.42"
"Clay","1","8,860:1","1.23"
"Doddridge","2","4,210:1","0.88"
"Fayette","21","2,110:1","0.24"
"Gilmer","3","2,750:1","0.54"
"Grant","6","1,960:1","0.14"
"Greenbrier","48","730:1","-2.18"
"Hampshire","5","4,660:1","0.95"
"Hancock","17","1,740:1","-0.03"
"Hardy","3","4,630:1","0.94"
"Harrison","79","870:1","-1.62"
"Jackson","9","3,240:1","0.69"
"Jefferson","30","1,880:1","0.08"
"Kanawha","251","740:1","-2.14"
"Lewis","12","1,360:1","-0.47"
"Lincoln","7","3,030:1","0.63"
"Logan","14","2,410:1","0.40"
"Marion","32","1,770:1","-0.01"
"Marshall","12","2,650:1","0.50"
"Mason","15","1,790:1","0.01"
"McDowell","9","2,130:1","0.25"
"Mercer","38","1,590:1","-0.18"
"Mineral","9","3,050:1","0.64"
"Mingo","5","4,930:1","0.98"
"Monongalia","136","770:1","-2.01"
"Monroe","6","2,230:1","0.31"
"Morgan","9","1,960:1","0.14"
"Nicholas","23","1,100:1","-0.94"
"Ohio","74","570:1","-3.21"
"Pendleton","3","2,350:1","0.37"
"Pleasants","2","3,800:1","0.81"
"Pocahontas","4","2,130:1","0.25"
"Preston","11","3,070:1","0.64"
"Putnam","61","930:1","-1.39"
"Raleigh","69","1,110:1","-0.92"
"Randolph","23","1,260:1","-0.63"
"Ritchie","2","4,940:1","0.98"
"Roane","8","1,780:1","0.00"
"Summers","5","2,570:1","0.47"
"Taylor","6","2,810:1","0.56"
"Tucker","3","2,310:1","0.35"
"Tyler","4","2,240:1","0.32"
"Upshur","11","2,240:1","0.32"
"Wayne","26","1,560:1","-0.22"
"Webster","4","2,160:1","0.27"
"Wetzel","9","1,740:1","-0.04"
"Wirt","1","5,810:1","1.06"
"Wood","69","1,240:1","-0.66"
"Wyoming","6","3,630:1","0.78"
