County,County Value**,Error Margin,Z-Score
"West Virginia","26%","25-28%",
"Barbour","23%","22-24%","0.19"
"Berkeley","22%","22-23%","-0.31"
"Boone","25%","24-26%","1.17"
"Braxton","23%","22-24%","0.08"
"Brooke","20%","19-21%","-1.53"
"Cabell","24%","23-25%","0.44"
"Calhoun","24%","23-25%","0.46"
"Clay","24%","23-25%","0.79"
"Doddridge","21%","20-22%","-1.05"
"Fayette","25%","24-26%","0.96"
"Gilmer","26%","25-27%","1.75"
"Grant","22%","22-23%","-0.22"
"Greenbrier","23%","22-24%","-0.01"
"Hampshire","22%","21-23%","-0.43"
"Hancock","22%","22-23%","-0.21"
"Hardy","22%","22-23%","-0.22"
"Harrison","23%","23-24%","0.28"
"Jackson","21%","20-22%","-0.96"
"Jefferson","20%","20-21%","-1.25"
"Kanawha","21%","20-21%","-1.08"
"Lewis","23%","22-23%","-0.16"
"Lincoln","24%","23-24%","0.35"
"Logan","25%","24-26%","0.94"
"Marion","23%","22-24%","0.23"
"Marshall","22%","21-22%","-0.67"
"Mason","24%","23-24%","0.33"
"McDowell^","30%","29-31%","3.00"
"Mercer","25%","24-26%","1.16"
"Mineral","21%","20-22%","-0.87"
"Mingo","30%","29-31%","3.41"
"Monongalia","20%","19-21%","-1.36"
"Monroe","23%","22-23%","-0.16"
"Morgan","21%","20-22%","-1.08"
"Nicholas","21%","20-22%","-0.87"
"Ohio","22%","21-22%","-0.64"
"Pendleton","22%","21-22%","-0.70"
"Pleasants","22%","21-23%","-0.24"
"Pocahontas","23%","22-23%","-0.17"
"Preston","21%","20-22%","-0.82"
"Putnam","20%","19-21%","-1.45"
"Raleigh","25%","24-25%","0.93"
"Randolph","22%","21-23%","-0.27"
"Ritchie","22%","21-23%","-0.50"
"Roane","23%","22-24%","0.16"
"Summers","24%","23-25%","0.52"
"Taylor","21%","20-22%","-0.94"
"Tucker","21%","20-22%","-1.11"
"Tyler","21%","20-22%","-0.86"
"Upshur","24%","23-25%","0.45"
"Wayne","23%","22-24%","0.09"
"Webster","23%","22-24%","0.26"
"Wetzel","24%","23-25%","0.59"
"Wirt","23%","22-24%","0.19"
"Wood","24%","23-24%","0.38"
"Wyoming","24%","23-25%","0.64"
