County,# Primary Care Physicians,County Value,Z-Score
"West Virginia","1,410","1,290:1",
"Barbour","7","2,360:1","0.36"
"Berkeley","51","2,250:1","0.31"
"Boone","8","2,790:1","0.55"
"Braxton","6","2,370:1","0.37"
"Brooke","5","4,490:1","0.93"
"Cabell","151","630:1","-2.91"
"Calhoun","3","2,440:1","0.40"
"Clay","1","8,760:1","1.23"
"Doddridge","2","4,280:1","0.90"
"Fayette","19","2,290:1","0.33"
"Gilmer","3","2,670:1","0.50"
"Grant","6","1,950:1","0.11"
"Greenbrier","45","780:1","-2.03"
"Hampshire","6","3,910:1","0.83"
"Hancock","16","1,840:1","0.03"
"Hardy","2","6,860:1","1.14"
"Harrison","78","870:1","-1.68"
"Jackson","9","3,220:1","0.68"
"Jefferson","33","1,710:1","-0.09"
"Kanawha","241","760:1","-2.14"
"Lewis","12","1,350:1","-0.52"
"Lincoln","9","2,310:1","0.34"
"Logan","16","2,060:1","0.19"
"Marion","30","1,880:1","0.06"
"Marshall","13","2,400:1","0.38"
"Mason","14","1,910:1","0.09"
"McDowell","5","3,690:1","0.79"
"Mercer","40","1,490:1","-0.33"
"Mineral","9","3,020:1","0.62"
"Mingo","5","4,830:1","0.97"
"Monongalia","139","760:1","-2.16"
"Monroe","5","2,680:1","0.50"
"Morgan","10","1,770:1","-0.04"
"Nicholas","24","1,040:1","-1.14"
"Ohio","67","630:1","-2.92"
"Pendleton","3","2,330:1","0.35"
"Pleasants","1","7,510:1","1.18"
"Pocahontas","4","2,110:1","0.22"
"Preston","13","2,590:1","0.47"
"Putnam","60","950:1","-1.41"
"Raleigh","66","1,140:1","-0.92"
"Randolph","25","1,150:1","-0.89"
"Ritchie","2","4,890:1","0.98"
"Roane","8","1,760:1","-0.05"
"Summers","5","2,600:1","0.47"
"Taylor","6","2,820:1","0.56"
"Tucker","3","2,310:1","0.33"
"Tyler","5","1,760:1","-0.04"
"Upshur","10","2,450:1","0.40"
"Wayne","22","1,830:1","0.01"
"Webster","3","2,790:1","0.55"
"Wetzel","8","1,930:1","0.10"
"Wirt","1","5,790:1","1.07"
"Wood","70","1,220:1","-0.76"
"Wyoming","6","3,540:1","0.76"
