County,County Value**,Error Margin,Z-Score
"West Virginia","24%","23-26%",
"Barbour","26%","22-29%","0.17"
"Berkeley","22%","18-25%","-1.21"
"Boone","27%","23-30%","0.52"
"Braxton","28%","24-31%","0.87"
"Brooke","22%","19-26%","-0.93"
"Cabell","24%","20-28%","-0.38"
"Calhoun","28%","24-31%","0.87"
"Clay","30%","26-34%","1.70"
"Doddridge","26%","21-29%","0.17"
"Fayette","27%","23-30%","0.55"
"Gilmer","24%","21-27%","-0.35"
"Grant","25%","21-29%","0.00"
"Greenbrier","24%","20-28%","-0.31"
"Hampshire","25%","21-28%","-0.03"
"Hancock","24%","20-27%","-0.42"
"Hardy","25%","22-29%","0.10"
"Harrison","23%","19-27%","-0.76"
"Jackson","24%","20-28%","-0.24"
"Jefferson","18%","15-21%","-2.35"
"Kanawha","23%","19-27%","-0.62"
"Lewis","25%","22-29%","0.14"
"Lincoln","28%","24-32%","1.04"
"Logan","30%","26-34%","1.87"
"Marion","23%","20-27%","-0.55"
"Marshall","23%","19-27%","-0.62"
"Mason","24%","20-28%","-0.38"
"McDowell^","34%","30-37%","3.00"
"Mercer","26%","21-29%","0.17"
"Mineral","22%","18-25%","-1.14"
"Mingo","30%","26-33%","1.63"
"Monongalia","19%","15-23%","-2.11"
"Monroe","24%","20-28%","-0.28"
"Morgan","23%","19-26%","-0.69"
"Nicholas","25%","22-29%","0.07"
"Ohio","21%","17-25%","-1.49"
"Pendleton","25%","21-28%","-0.17"
"Pleasants","24%","21-27%","-0.24"
"Pocahontas","27%","23-30%","0.55"
"Preston","24%","20-27%","-0.45"
"Putnam","19%","16-22%","-2.08"
"Raleigh","25%","22-29%","0.10"
"Randolph","26%","22-29%","0.24"
"Ritchie","26%","22-29%","0.21"
"Roane","27%","23-31%","0.76"
"Summers","26%","22-29%","0.17"
"Taylor","24%","20-27%","-0.45"
"Tucker","23%","19-26%","-0.87"
"Tyler","24%","20-28%","-0.38"
"Upshur","26%","22-30%","0.31"
"Wayne","27%","23-32%","0.80"
"Webster","30%","26-34%","1.66"
"Wetzel","25%","22-28%","0.03"
"Wirt","28%","24-32%","1.00"
"Wood","23%","20-27%","-0.62"
"Wyoming","29%","25-33%","1.35"
